name,normalized_name,source,publisher,pdf_page,rating,relevance_score,demidius_recommendation,tags,rules_summary,rules_verification_status,evaluation_method,citation
Detect Snares And Pits,detect snares and pits,Mythic Magic: Core Spells,Legendary Games,46,B,60,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy,"This spell functions continuously, without re- quiring concentration, revealing the presence of hazards within the area. You can concentrate on the spell as a swift action to gain additional infor- mation as described…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 46."
Detect Thoughts,detect thoughts,Mythic Magic: Core Spells,Legendary Games,46,B,61,Supports Demidius's strategic planning and identification role.,casting-reliability|divination,"You add one-half your mythic tier to Sense Motive checks against any creature. If you are reading a creature’s surface thoughts at the same time you make this check, you add your mythic tier instead.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 46."
Detect Undead,detect undead,Mythic Magic: Core Spells,Legendary Games,47,D,42,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,You gain a bonus equal to your mythic tier to Knowledge (religion) checks to identify undead creatures. You can also detect incorporeal un- dead even if they are hiding inside a solid object thicker than would normally…,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47."
Dimensional Anchor,dimensional anchor,Mythic Magic: Core Spells,Legendary Games,47,A,80,Reliable single-target escape denial.,control|teleportation-denial,"You may add your mythic tier to caster lev- el checks to overcome the spell resistance of non-mythic creatures. In addition, if the target attempts to use any form of extradimension- al travel, it becomes entangled for…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47."
Diminish Plants,diminish plants,Mythic Magic: Core Spells,Legendary Games,47,A,83,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",battlefield-control|casting-reliability|dispel,"When you use this spell to stunt growth, you reduce the potential productivity of plants in the area to one-twelfth normal over the next year with- in a radius of one mile per two mythic tiers. When you cast it to…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47."
Discern Lies,discern lies,Mythic Magic: Core Spells,Legendary Games,47,B,69,Supports Demidius's strategic planning and identification role.,casting-reliability|divination,"You gain a bonus equal to twice your mythic tier on all Sense Motive checks to oppose a Bluff check, Linguistics checks to detect forgeries, and Perception checks to oppose a creature’s Disguise or Sleight of Hand…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47."
Discern Location,discern location,Mythic Magic: Core Spells,Legendary Games,47,A+,86,Top-tier target-finding and rescue utility.,divination|intelligence,"You can overcome the protection of a non-mythic mind blank or similar effect with a caster level check with a DC of 11 plus the caster level of the mind blank. In addition, you can find your way to the target creature…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47."
Disguise Self,disguise self,Mythic Magic: Core Spells,Legendary Games,47,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Add your mythic tier to your bonus on Dis- guise skill checks. As a full-round action, you may change your appearance to create a new disguise.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47."
Dismissal,dismissal,Mythic Magic: Core Spells,Legendary Games,48,B+,75,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability|reliability,"If the target is a non-mythic extraplanar creature, it receives no saving throw to avoid being sent back to its proper plane, and there is no chance it will be sent back to plane other than its own. A mythic creature…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
Dispel Chaos,dispel chaos,Mythic Magic: Core Spells,Legendary Games,48,B,66,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel,"As dispel evil, but affecting chaotic creatures and spells and granting an insight bonus when used to dispel a chaotic spell or en- chantment spell cast by a chaotic creature.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
Dispel Evil,dispel evil,Mythic Magic: Core Spells,Legendary Games,48,B+,77,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",casting-reliability|dispel,"The deflection bonus to AC against evil crea- tures is increased to +6. In addition, if using this spell to drive an evil extraplanar creature back to its home plane, you gain a bonus equal to half your mythic tier to…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
Dispel Good,dispel good,Mythic Magic: Core Spells,Legendary Games,48,B,66,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel,"As dispel evil, but affecting good creatures and spells and granting a profane bonus when used to dispel a good spell or en- chantment spell cast by a good creature. Jason Nelson & Jonathan Keith - 43 Jason Nelson &…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
Dispel Law,dispel law,Mythic Magic: Core Spells,Legendary Games,48,A,80,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel|luck,"As dispel evil, but affecting lawful crea- tures and spells and granting a luck bonus when used to dispel a lawful spell or en- chantment spell cast by a lawful creature.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
"Dispel Magic, Greater","dispel magic, greater",Mythic Magic: Core Spells,Legendary Games,48,S+,100,Build-defining mythic dispel and counterspell package; retain as Spell Perfection target.,action-economy|counterspell|dispel|spell-perfection,"When mythic greater dispel magic is used to dispel non-mythic spells (or remove a non-mythic curse), you can roll your caster level check twice for each spell, using the better result. In addition, if you fail a caster…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
Displacement,displacement,Mythic Magic: Core Spells,Legendary Games,48,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The subject of this spell appears to be about 5 feet away from its true location, and the im- age flickers and shifts its position relative to the subject’s true position. Before the subject has acted in combat,…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48."
Disrupt Undead,disrupt undead,Mythic Magic: Core Spells,Legendary Games,51,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The damage dealt increases to 2d6. Augmented (3rd): If you expend two uses of mythic power, you can target one additional undead creature per 3 mythic tiers.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51."
Disrupting Weapon,disrupting weapon,Mythic Magic: Core Spells,Legendary Games,51,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target weapon’s critical multiplier is increased by 1 when used against undead creatures, and if an undead creature struck by the disrupt- ing weapon has damage reduction, the wielder of the weapon may ignore an…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51."
Divination,divination,Mythic Magic: Core Spells,Legendary Games,51,B,58,Supports Demidius's strategic planning and identification role.,divination,"You add twice your mythic tier to the percentage chance of a successful divination, and the maxi- mum chance of success is equal to 90% plus your mythic tier. You do not require a costly offering to cast the spell, and…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51."
Divine Power,divine power,Mythic Magic: Core Spells,Legendary Games,51,C,54,Fits the Hermes/Fate's Favored luck engine; verify bonus type and stacking before use.,luck|weapon-focused,"The luck bonus provided by this spell is in- creased by +1 to attack rolls, weapon damage rolls, Strength checks, and Strength-based skill checks, and the temporary hit points you gain are increased to twice your…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51."
Dominate Animal,dominate animal,Mythic Magic: Core Spells,Legendary Games,51,A,83,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy|casting-reliability|duration|enchantment,"You can communicate with the animal you dom- inate as if using speak with animals, and issuing the animal a new command is a swift action rather than a move action. If the animal is protected by a non-mythic protection…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51."
Dominate Monster,dominate monster,Mythic Magic: Core Spells,Legendary Games,51,A+,86,Broad high-level domination; excellent post-dispel finisher.,control|enchantment|mind-affecting,"Issuing a new command to the creature you dominate is a swift action rather than a move action. As a full-round action, you can send and receive a telepathic message to the target and receive a reply, as a sending spell.",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51."
Doom,doom,Mythic Magic: Core Spells,Legendary Games,52,C,56,Potential party-force multiplier consistent with Demidius's support and command role.,leadership,"This spell becomes a curse effect and can- not be dispelled. As long as the doom contin- ues, the target must attempt a saving throw against any effect that grants a morale bonus, even if that effect is harmless.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52."
Eagle’S Splendor,eagle's splendor,Mythic Magic: Core Spells,Legendary Games,52,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Your target gains a bonus to Charisma checks equal to half your mythic tier, and once during the spell’s duration the target can elect to take 20 on a Charisma check or Cha- risma-based skill check, treating that skill…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52."
"Eagle’S Splendor, Mass","eagle's splendor, mass",Mythic Magic: Core Spells,Legendary Games,52,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,"As mythic eagle’s splendor, but affecting one creature per level within range; the targets need not be within 30 feet of each other.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52."
Elemental Body (All),elemental body (all),Mythic Magic: Core Spells,Legendary Games,52,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Each mythic elemental body spell is a separate spell, meaning you must select each separately as a mythic spell and you must first know the standard version of the spell you select, though you need not know lower-level…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52."
Elemental Swarm,elemental swarm,Mythic Magic: Core Spells,Legendary Games,53,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The elementals you summon are considered mythic creatures and gain one use of mythic power and the surge ability, which they can use to add 1d6 to a single die roll. Your summoned monsters gain no other mythic abilities.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Energy Drain,energy drain,Mythic Magic: Core Spells,Legendary Games,53,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The number of negative levels you inflict is increased to 2d6, and the target becomes sickened for a number of days equal to your mythic tier. An undead creature struck by the ray gains 2d6 x 5 temporary hit points and…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
"Enlarge Person, Mass","enlarge person, mass",Mythic Magic: Core Spells,Legendary Games,53,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,"This functions as mythic enlarge person, as described in Chapter 3 of Pathfinder Role- playing Game Mythic Adventures, but you can target any creatures within range; they do not need to be within 30 feet of each other.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Enthrall,enthrall,Mythic Magic: Core Spells,Legendary Games,53,B,62,Supports the enchantment package after mind blank and immunity-granting effects are removed.,enchantment,You can cast a companion mind-affecting spell you have prepared as part of your speech or performance that you use to enthrall crea- tures. This spell’s level cannot exceed one-half your mythic tier.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Erase,erase,Mythic Magic: Core Spells,Legendary Games,53,B+,79,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy|casting-reliability,"You can erase non-mythic illusory script or a symbol by touch, though you cannot erase the mythic versions of those spells. You can erase a mythic or non-mythic arcane mark, explosive runes, glyph of warding, or sepia…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Ethereal Jaunt,ethereal jaunt,Mythic Magic: Core Spells,Legendary Games,53,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"While using this spell, you can shift into the Ma- terial Plane as if using mythic blink, as described in Pathfinder Roleplaying Game Mythic Adven- tures. If you are 3rd tier or higher, you can spend two points of…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Etherealness,etherealness,Mythic Magic: Core Spells,Legendary Games,53,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Creatures using this spell can shift into the Mate- rial Plane as if using mythic blink, as described in Pathfinder Roleplaying Game Mythic Adventures. If they are 3rd or higher-tier (or rank) mythic creatures, they…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Explosive Runes,explosive runes,Mythic Magic: Core Spells,Legendary Games,53,B,66,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel,"Increase the damage to 6d10 points of force damage, and a creature failing its saving throw (or not allowed a save) is pushed 5 feet directly away per mythic tier by the force of the explosion, landing prone at the end…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53."
Eyebite,eyebite,Mythic Magic: Core Spells,Legendary Games,54,A,83,Fits the Hermes/Fate's Favored luck engine; verify bonus type and stacking before use.,defense|enchantment|luck|party|restoration,"This spell functions as a gaze attack, affect- ing all creatures within a radius equal to 5 feet plus 5 feet per 2 mythic tiers. You may exclude a number of creatures equal to your mythic tier from the effects of your…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
Fabricate,fabricate,Mythic Magic: Core Spells,Legendary Games,54,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,"Increase the volume of material you can con- vert to 100 cubic feet/level (10 cubic feet per level of mineral matter), and casting re- quires 1 round per 100 cubic feet of mate- rial. Add your mythic tier to Craft…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
False Vision,false vision,Mythic Magic: Core Spells,Legendary Games,54,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The duration increases to 1 day per level. In addition, any creature scrying on the area sees a programmed image that plays on its own for a number of rounds equal to your caster level plus your mythic tier, rather…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
Fear,fear,Mythic Magic: Core Spells,Legendary Games,54,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You can select which creatures within the area are affected. In addition, you can affect non-myth- ic creatures that are normally immune to fear, though they gain a +2 circumstance bonus to their saving throw.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
Feeblemind,feeblemind,Mythic Magic: Core Spells,Legendary Games,54,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,The save changes to Will partial. Creatures that save are confused and shaken for 1 round and shaken thereafter for a number of rounds equal to one-half your mythic tier.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
Find The Path,find the path,Mythic Magic: Core Spells,Legendary Games,54,A,83,"Useful follow-up control after the opening dispel, though exact save and immunity profile determines priority.",battlefield-control|casting-reliability|defense|divination,"While following the path to the specified desti- nation, the target of this spell gains immunity to maze spells or other effects that would cause her to lose her sense of direction, as well as a bonus equal to half…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
Find Traps,find traps,Mythic Magic: Core Spells,Legendary Games,54,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Your target gains an additional bonus to its Perception checks to find traps equal to half your mythic tier. If your target has the trap sense ability, their bonus from that ability is increased by 1, and the saving…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54."
Fire Trap,fire trap,Mythic Magic: Core Spells,Legendary Games,55,B+,72,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",casting-reliability|damage|dispel,"The damage dealt increases to 2d4 points of fire damage +2 points per caster level (maximum +40), and increase the Perception and Disable Device DC to locate and disarm the trap, as well as the caster level check DC to…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Flame Arrow,flame arrow,Mythic Magic: Core Spells,Legendary Games,55,C,54,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage|defense,"Creatures struck by a mythic flame arrow catch on fire (Reflex negates). On a critical hit, mythic flame arrows deal 3d6 points of fire damage instead of 1d6 and the fire dam- age bypasses fire resistance or immunity.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Flaming Sphere,flaming sphere,Mythic Magic: Core Spells,Legendary Games,55,C,56,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,casting-reliability|damage,"The damage dealt increases to 3d10 points of fire damage, and change the saving throw from Reflex negates to Reflex half. Augmented (3rd): If you expend two uses of mythic power, the mythic flaming sphere does not stop…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Flare,flare,Mythic Magic: Core Spells,Legendary Games,55,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target is blinded for 1 round and daz- zled for one minute per mythic tier if it fails its saving throw, and is dazzled for 1 round even on a successful save.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Forbiddance,forbiddance,Mythic Magic: Core Spells,Legendary Games,55,A+,86,"High-value headquarters, temple, demiplane, and planar-travel denial.",infrastructure|planar|teleportation-denial,"The damage dealt is increased to 12d10 or 6d10 points of damage, and any extraplanar crea- ture attempting to enter the area by planar travel, teleportation, summoning, calling, or any other effect takes damage and is…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Forcecage,forcecage,Mythic Magic: Core Spells,Legendary Games,55,S,92,Exceptional no-save battlefield partition and durable mythic control.,battlefield-control|force,"A mythic forcecage has hardness of 40 and has 30 hit points per caster level. A non-myth- ic disintegrate spell or rod of cancellation suppresses a mythic forcecage for 1 round, after which it repairs itself.",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Forceful Hand,forceful hand,Mythic Magic: Core Spells,Legendary Games,55,B+,78,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel|enchantment,"Add your mythic tier as a deflection bonus to the hand’s Armor Class, to its combat maneuver bonus and combat maneuver defense, and to the DC for caster level checks to dispel it. You can command a mythic forceful hand…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
Fox’S Cunning,fox's cunning,Mythic Magic: Core Spells,Legendary Games,55,B,64,Fits the Hermes/Fate's Favored luck engine; verify bonus type and stacking before use.,luck,"Your target gains a bonus to Intelligence checks equal to half your mythic tier, and once during the spell’s duration the subject can roll twice when making an Intelligence check or an Intelligence-based skill check…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55."
"Fox’S Cunning, Mass","fox's cunning, mass",Mythic Magic: Core Spells,Legendary Games,56,B,59,Potential party-force multiplier consistent with Demidius's support and command role.,party,"As mythic fox’s cunning, but affecting one creature per level within range; the targets need not be within 30 feet of each other.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
Freedom,freedom,Mythic Magic: Core Spells,Legendary Games,56,A+,86,Direct answer to imprisonment and related permanent incapacitation; highly relevant to rescue arcs.,rescue|restoration,"You can affect a number of creatures equal to your mythic tier if you cast the spell as a standard action. Alternatively, you can cast the spell as an immediate action, affecting a single creature.",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
Freedom Of Movement,freedom of movement,Mythic Magic: Core Spells,Legendary Games,56,A+,86,"Core defense against grapples, paralysis-like restraints, and movement denial.",buff|defense|mobility,"The target ignores the adverse movement effects of difficult terrain, and can even take 5-foot steps in difficult terrain.",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
Freezing Sphere,freezing sphere,Mythic Magic: Core Spells,Legendary Games,56,C,45,Generally inefficient for Demidius because the party already has overwhelming damage specialists.,damage,The damage dealt increases to 1d10 points of cold damage per level (maximum 15d10). Crea- tures with the water subtype take 1d12 points of cold damage per level (maximum 15d12) and are staggered for 1d8 rounds.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
Gate,gate,Mythic Magic: Core Spells,Legendary Games,56,A+,86,"Exceptional planar travel, rescue, and calling utility; expensive calling uses require caution.",calling|planar|travel,"If used for planar travel, you can increase the size of the gate by 5 feet per mythic tier, and the dura- tion you can keep it open is increased by a number of rounds equal to your mythic tier. If you cease Jason…",Verified - full-text extracted,Manual,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
"Geas, Lesser","geas, lesser",Mythic Magic: Core Spells,Legendary Games,56,C,57,Useful party recovery; lower priority because the group already has exceptional Life Oracle healing.,restoration,"Increase the Hit Die limit of the spell by your mythic tier, and you may choose to affect one or more creatures within a 10-foot-radius spread whose total Hit Dice do not exceed your Hit Die limit. Creatures with the…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
Geas/Quest,geas/quest,Mythic Magic: Core Spells,Legendary Games,56,C,57,Useful party recovery; lower priority because the group already has exceptional Life Oracle healing.,restoration,"The maximum ability score penalty for failing to follow the terms of the mythic geas/quest is in- creased by an amount equal to your mythic tier. A mythic geas/quest can be removed by a non-myth- ic limited wish,…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56."
Gentle Repose,gentle repose,Mythic Magic: Core Spells,Legendary Games,57,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You can target one additional corpse per myth- ic tier, and corpses protected by this spell gain hardness equal to your mythic tier. Augmented (3rd): If you expend two uses of mythic power, you may cast this spell on a…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57."
Ghost Sound,ghost sound,Mythic Magic: Core Spells,Legendary Games,57,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"You can create eerie, unnerving, and dis- tracting sounds with this spell that affect all living creatures within a 10-foot-radius burst at any point within range. Creatures in this area that fail their saves take a -2…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57."
Ghoul Touch,ghoul touch,Mythic Magic: Core Spells,Legendary Games,57,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Add your mythic tier to the number of rounds the target remains paralyzed, and its stench caus- es creatures to become nauseated and sickened (Fortitude negates). If a creature fails its initial save against this…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57."
Giant Form (All),giant form (all),Mythic Magic: Core Spells,Legendary Games,57,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Each mythic giant form spell is a separate spell, meaning you must select each separate- ly as a mythic spell and you must first know the standard version of the spell you select, though you need not know lower-level…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57."
Glibness,glibness,Mythic Magic: Core Spells,Legendary Games,57,B,61,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,casting-reliability,"Add your mythic tier to Bluff checks made to convince others of your truthfulness. Non-mythic effects that would detect your lies or force you to speak the truth have no effect on you, and mythic effects affect you…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57."
Glitterdust,glitterdust,Mythic Magic: Core Spells,Legendary Games,57,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"This spell can reveal a target hidden by myth- ic invisibility. In addition, change the saving throw to Will partial (blinding only).",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57."
"Globe Of Invulnerability, Lesser","globe of invulnerability, lesser",Mythic Magic: Core Spells,Legendary Games,58,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,Add one-third your mythic tier to the level of non-mythic spells the globe excludes. The globe excludes mythic spells of 3rd level or lower.,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58."
"Glyph Of Warding, Greater","glyph of warding, greater",Mythic Magic: Core Spells,Legendary Games,58,C,53,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,Add your mythic tier to the Perception and Dis- able Device DC to find and disable the glyph. The damage from a blast glyph increases to 1d8 per caster level (maximum 20d8).,Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58."
Good Hope,good hope,Mythic Magic: Core Spells,Legendary Games,58,A,83,"Improves tempo or reactive casting, a premium function for Demidius's controller role.",action-economy|leadership|luck,"You can affect a number of additional targets equal to your mythic tier, and you may select targets anywhere within range; they do not need to be within 30 feet of each other. If the target of mythic good hope fails a…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58."
Grasping Hand,grasping hand,Mythic Magic: Core Spells,Legendary Games,58,B+,78,"Relevant to Demidius's anti-magic role; evaluate action cost, check reliability, and whether it removes multiple protections.",dispel|enchantment,"Add your mythic tier as a deflection bonus to the hand’s Armor Class, to its combat maneuver bonus and combat maneuver defense, and to the DC for caster level checks to dispel it. You can command a mythic grasping hand…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58."
Guidance,guidance,Mythic Magic: Core Spells,Legendary Games,58,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"The target’s competence bonus is increased by an amount equal to one-half your mythic tier, and the duration of the spell is increased to a number of minutes equal to your mythic tier. The bonus may still be used only…",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58."
Gust Of Wind,gust of wind,Mythic Magic: Core Spells,Legendary Games,58,C,50,General utility or niche mythic enhancement; prepare through Inspired Spell or broad spell access when the situation warrants.,utility,"Increase the spell’s duration to concentration (up to 1 round plus 1 round per mythic tier). Each round you may spend a standard ac- tion to direct a new gust of wind, which may affect the same area or a different area.",Verified - full-text extracted,Automated first-pass,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58."
