spell,normalized_name,core_pdf_page,compendium_pdf_page,difference_status,token_set_similarity,audit_note,core_citation,compendium_citation,verification_status
Detect Thoughts,detect thoughts,46,72,Minor revision,99.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 46.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 72.",Verified - programmatic full-text comparison
Detect Undead,detect undead,47,73,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 73.",Verified - programmatic full-text comparison
Dimensional Anchor,dimensional anchor,47,74,Minor revision,97.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 74.",Verified - programmatic full-text comparison
Diminish Plants,diminish plants,47,74,Minor revision,99.0,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 74.",Verified - programmatic full-text comparison
Discern Lies,discern lies,47,75,Editorial / formatting-only,99.7,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 75.",Verified - programmatic full-text comparison
Discern Location,discern location,47,75,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 75.",Verified - programmatic full-text comparison
Disguise Self,disguise self,47,75,Substantive revision,96.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 47.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 75.",Verified - programmatic full-text comparison
Dismissal,dismissal,48,76,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Dispel Chaos,dispel chaos,48,76,Minor revision,97.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Dispel Evil,dispel evil,48,76,Minor revision,97.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Dispel Good,dispel good,48,76,Substantive revision,95.2,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Dispel Law,dispel law,48,76,Major rewrite / extraction review,90.8,Low text overlap. This may be a major rewrite or a text-extraction boundary issue; manual review recommended.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
"Dispel Magic, Greater","dispel magic, greater",48,76,Minor revision,98.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Displacement,displacement,48,76,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 48.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Disrupt Undead,disrupt undead,51,76,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Disrupting Weapon,disrupting weapon,51,76,Minor revision,97.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 76.",Verified - programmatic full-text comparison
Divination,divination,51,77,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 77.",Verified - programmatic full-text comparison
Divine Power,divine power,51,77,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 77.",Verified - programmatic full-text comparison
Dominate Animal,dominate animal,51,78,Minor revision,98.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 78.",Verified - programmatic full-text comparison
Dominate Monster,dominate monster,51,78,Minor revision,98.7,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 51.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 78.",Verified - programmatic full-text comparison
Doom,doom,52,78,Substantive revision,95.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 78.",Verified - programmatic full-text comparison
Eagle’S Splendor,eagle's splendor,52,81,Editorial / formatting-only,99.7,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 81.",Verified - programmatic full-text comparison
"Eagle’S Splendor, Mass","eagle's splendor, mass",52,82,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 82.",Verified - programmatic full-text comparison
Elemental Body (All),elemental body (all),52,83,Substantive revision,96.4,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 52.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 83.",Verified - programmatic full-text comparison
Elemental Swarm,elemental swarm,53,84,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 84.",Verified - programmatic full-text comparison
Energy Drain,energy drain,53,86,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 86.",Verified - programmatic full-text comparison
"Enlarge Person, Mass","enlarge person, mass",53,86,Minor revision,97.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 86.",Verified - programmatic full-text comparison
Enthrall,enthrall,53,87,Minor revision,97.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 87.",Verified - programmatic full-text comparison
Erase,erase,53,87,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 87.",Verified - programmatic full-text comparison
Ethereal Jaunt,ethereal jaunt,53,89,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 89.",Verified - programmatic full-text comparison
Etherealness,etherealness,53,89,Minor revision,99.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 89.",Verified - programmatic full-text comparison
Explosive Runes,explosive runes,53,90,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 53.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 90.",Verified - programmatic full-text comparison
Eyebite,eyebite,54,91,Substantive revision,96.5,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 91.",Verified - programmatic full-text comparison
Fabricate,fabricate,54,93,Substantive revision,95.6,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 93.",Verified - programmatic full-text comparison
False Vision,false vision,54,95,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 95.",Verified - programmatic full-text comparison
Fear,fear,54,95,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 95.",Verified - programmatic full-text comparison
Feeblemind,feeblemind,54,96,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 96.",Verified - programmatic full-text comparison
Find The Path,find the path,54,98,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 98.",Verified - programmatic full-text comparison
Find Traps,find traps,54,98,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 54.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 98.",Verified - programmatic full-text comparison
Fire Trap,fire trap,55,99,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 99.",Verified - programmatic full-text comparison
Flame Arrow,flame arrow,55,100,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 100.",Verified - programmatic full-text comparison
Flaming Sphere,flaming sphere,55,100,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 100.",Verified - programmatic full-text comparison
Flare,flare,55,100,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 100.",Verified - programmatic full-text comparison
Forbiddance,forbiddance,55,102,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 102.",Verified - programmatic full-text comparison
Forcecage,forcecage,55,102,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 102.",Verified - programmatic full-text comparison
Forceful Hand,forceful hand,55,103,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 103.",Verified - programmatic full-text comparison
Fox’S Cunning,fox's cunning,55,104,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 55.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 104.",Verified - programmatic full-text comparison
"Fox’S Cunning, Mass","fox's cunning, mass",56,104,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 104.",Verified - programmatic full-text comparison
Freedom,freedom,56,104,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 104.",Verified - programmatic full-text comparison
Freedom Of Movement,freedom of movement,56,104,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 104.",Verified - programmatic full-text comparison
Freezing Sphere,freezing sphere,56,105,Minor revision,97.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 105.",Verified - programmatic full-text comparison
Gate,gate,56,107,Substantive revision,96.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 107.",Verified - programmatic full-text comparison
"Geas, Lesser","geas, lesser",56,107,Minor revision,98.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 107.",Verified - programmatic full-text comparison
Geas/Quest,geas/quest,56,108,Substantive revision,94.0,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 56.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 108.",Verified - programmatic full-text comparison
Gentle Repose,gentle repose,57,108,Minor revision,98.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 108.",Verified - programmatic full-text comparison
Ghost Sound,ghost sound,57,109,Substantive revision,96.2,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 109.",Verified - programmatic full-text comparison
Ghoul Touch,ghoul touch,57,110,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 110.",Verified - programmatic full-text comparison
Giant Form (All),giant form (all),57,111,Substantive revision,96.7,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 111.",Verified - programmatic full-text comparison
Glibness,glibness,57,111,Minor revision,98.9,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 111.",Verified - programmatic full-text comparison
Glitterdust,glitterdust,57,111,Minor revision,97.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 57.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 111.",Verified - programmatic full-text comparison
"Globe Of Invulnerability, Lesser","globe of invulnerability, lesser",58,112,Minor revision,97.4,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 112.",Verified - programmatic full-text comparison
"Glyph Of Warding, Greater","glyph of warding, greater",58,112,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 112.",Verified - programmatic full-text comparison
Good Hope,good hope,58,112,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 112.",Verified - programmatic full-text comparison
Grasping Hand,grasping hand,58,112,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 112.",Verified - programmatic full-text comparison
Guidance,guidance,58,114,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 114.",Verified - programmatic full-text comparison
Gust Of Wind,gust of wind,58,114,Minor revision,97.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 114.",Verified - programmatic full-text comparison
Hallow,hallow,58,116,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 58.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 116.",Verified - programmatic full-text comparison
Hallucinatory Terrain,hallucinatory terrain,59,116,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 116.",Verified - programmatic full-text comparison
Halt Undead,halt undead,59,116,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 116.",Verified - programmatic full-text comparison
Heal Mount,heal mount,59,117,Substantive revision,96.1,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 117.",Verified - programmatic full-text comparison
"Heal, Mass","heal, mass",59,117,Substantive revision,93.9,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 117.",Verified - programmatic full-text comparison
Helping Hand,helping hand,59,118,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 118.",Verified - programmatic full-text comparison
Heroes’ Feast,heroes' feast,59,118,Substantive revision,96.9,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 118.",Verified - programmatic full-text comparison
"Heroism, Greater","heroism, greater",59,119,Minor revision,99.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 119.",Verified - programmatic full-text comparison
Hide From Animals,hide from animals,59,120,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 59.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
Hide From Undead,hide from undead,60,120,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
Hold Animal,hold animal,60,120,Minor revision,98.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
Hold Monster,hold monster,60,120,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
"Hold Monster, Mass","hold monster, mass",60,120,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
Hold Person,hold person,60,120,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
"Hold Person, Mass","hold person, mass",60,120,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
Holy Aura,holy aura,60,120,Minor revision,97.5,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 120.",Verified - programmatic full-text comparison
Holy Sword,holy sword,60,121,Minor revision,98.1,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 121.",Verified - programmatic full-text comparison
Horrid Wilting,horrid wilting,60,121,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 121.",Verified - programmatic full-text comparison
Hypnotic Pattern,hypnotic pattern,60,123,Minor revision,99.2,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 60.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 123.",Verified - programmatic full-text comparison
Hypnotism,hypnotism,61,124,Substantive revision,96.8,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 61.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 124.",Verified - programmatic full-text comparison
Identify,identify,61,126,Editorial / formatting-only,99.5,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 61.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 126.",Verified - programmatic full-text comparison
Illusory Script,illusory script,61,127,Editorial / formatting-only,99.6,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 61.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 127.",Verified - programmatic full-text comparison
Illusory Wall,illusory wall,61,127,Text-identical,100.0,Normalized rules text is identical.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 61.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 127.",Verified - programmatic full-text comparison
Imbue With Spell Ability,imbue with spell ability,61,128,Editorial / formatting-only,100.0,"Rules content appears materially identical; differences are predominantly layout, hyphenation, or minor editing.","Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 61.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 128.",Verified - programmatic full-text comparison
Implosion,implosion,62,128,Substantive revision,96.8,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 128.",Verified - programmatic full-text comparison
Imprisonment,imprisonment,62,128,Minor revision,98.6,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 128.",Verified - programmatic full-text comparison
Incendiary Cloud,incendiary cloud,62,128,Minor revision,98.8,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 128.",Verified - programmatic full-text comparison
"Inflict Critical Wounds, Mass","inflict critical wounds, mass",62,129,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 129.",Verified - programmatic full-text comparison
"Inflict Light Wounds, Mass","inflict light wounds, mass",62,129,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 129.",Verified - programmatic full-text comparison
"Inflict Moderate Wounds, Mass","inflict moderate wounds, mass",62,129,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 129.",Verified - programmatic full-text comparison
"Inflict Serious Wounds, Mass","inflict serious wounds, mass",62,129,Minor revision,98.3,Very high content overlap with small wording or clarification changes.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 129.",Verified - programmatic full-text comparison
Insanity,insanity,62,131,Substantive revision,96.6,Meaningful wording or rules changes detected; use the Compendium version as the later source.,"Mythic Magic: Core Spells (Legendary Games, 2013), PDF p. 62.","Mythic Spell Compendium (Legendary Games/Kobold Press, 2015), PDF p. 131.",Verified - programmatic full-text comparison
